evs
3.85403733e+10
5.21325619e+09
3.53577597e+08
4.82993934e+07
1.18168824e+07
6.31348751e+06
3.39277678e+06
2.45297192e+06
1.64645507e+06
9.72616886e+05
6.16326891e+05
5.39169523e+05
4.20982712e+05
2.66443635e+05
1.68778658e+05
7.04806708e+04
5.23661879e+04
2.37246653e+04
1.20536430e+04
8.43346648e+03
7.81029793e+03
6.11632939e+03
5.31967640e+03
4.51131019e+03
3.60996828e+03
2.56078768e+03
2.19428723e+03
1.34433472e+03
9.61009171e+02
8.88041697e+02
6.75155972e+02
4.88210735e+02
4.14233915e+02
3.05203080e+02
2.71321558e+02
2.23998716e+02
2.16352698e+02
1.69322769e+02
1.15586798e+02
1.00377633e+02
8.21985310e+01
7.92577529e+01
5.61831640e+01
5.18327295e+01
4.39294835e+01
3.74438951e+01
3.04443891e+01
2.52600914e+01
1.98264582e+01
1.54097864e+01
1.51198130e+01
1.22616734e+01
9.42646342e+00
8.63465802e+00
7.24934515e+00
